gene_name,gene_index,log2FC,p_value,adj_p_value
TMEM82,14111,-24.1014097274745,3.4748650030313e-25,
NAT8B,8693,20.9442653453306,1.1784190114617701e-21,
OR5H14,9414,-24.960044287879,1.09766243422309e-17,
AMY2A,591,-2.90831808864607,6.9717878202723205e-09,5.62623277095976e-06
CHP2,2640,-9.35680595769131,1.9138156367456e-06,
PLA2G1B,10117,-3.63530154016193,6.55397734082616e-06,
REG1B,11275,-4.5821917324314,3.79927515026184e-05,
CPB1,3048,-3.72720442214923,4.47044546911909e-05,0.0180382474678955
PYURF,10933,0.875531760700645,7.59142835502119e-05,
IGSF22,6491,-7.57492961463488,0.0001104461391268,
GP1BA,5496,-10.2771465345496,0.0001276929048001,
OR52N4,9410,6.17979434614817,0.0001414124316007,
AMY1B,589,-2.17634462835689,0.000149594903127,
PRSS1,10694,-2.74213384428327,0.0002676711572611,0.0720035413032517
MZT2A,8620,-0.979668832652078,0.0002880944411688,
CELA2A,2443,-3.15391639441084,0.0003745834619698,0.0755722134524109
RHEX,11384,5.27528696387369,0.0004020268476463,
EPS8L2,4325,-0.814294000605933,0.0004021444063922,
CTRL,3253,-2.80602451929327,0.0004217585180424,
TSC22D3,14561,1.30414397301027,0.0004687354639692,0.0756539038846315
CRISP3,3125,-2.86370104688828,0.0007972683565553,
CALR,1860,-0.539197720712635,0.0008454387446027,0.0989591408526213
RAP2B,11106,-0.880311749025926,0.0008789823998377,
RBCK1,11170,-0.657582963437723,0.0008932356309094,
DMBT1,3727,-1.97409704013578,0.0009351244410518,0.0989591408526213
RNF183,11507,-5.61210408179797,0.0010072242205237,
PRSS2,10697,-2.1883099685131,0.0010882986609199,0.0989591408526213
CPA1,3042,-2.9053626951975,0.001105057607504,0.0989591408526213
RPS19BP1,11662,-0.478272198920858,0.0012600171908271,0.0989591408526213
SMOC2,12767,1.86799732067091,0.0013814222137775,0.0989591408526213
ADAP1,279,-0.881602995086363,0.0014647922423623,
SERPINA1,12103,-1.48882114947754,0.001471511388143,0.0989591408526213
CHRM2,2649,5.32179557314338,0.0015109726049924,
GSTA5,5691,4.60016458295565,0.0016542552636233,
ATF2,1070,0.477316641290689,0.0017947002881569,
CELA3B,2446,-3.08576812194397,0.0020594992850044,
PIK3R1,10045,0.914738308156825,0.0020977383267299,
GLP1R,5380,4.32217423178719,0.0022305862013143,
CTRC,3252,-2.57790807582545,0.0023429909327794,
CDC42EP3,2328,2.50709521183786,0.0024240122970996,
AMY1A,588,-2.13004740446765,0.0024407550530453,
RPS9,11693,-0.60970743453738,0.002446575600421,
APOH,803,4.99833785567722,0.0026106442558568,
GCNT3,5244,-1.31117572868974,0.0026243794509493,
METTL14,8022,0.975163196233077,0.0028795321511952,
SOX9,12912,-0.698765496502188,0.0031532195356656,
STAB2,13167,4.9078626717345,0.0032456175941649,
CRIP1,3122,-0.711003998606353,0.0035020460102511,0.217396240790206
CSF3,3174,-4.09848020062435,0.0036921980923675,
TKT,13840,1.09559776772842,0.0037194253201425,
ROBO2,11555,2.5852789337455,0.0037660562070446,
CD99,2302,0.897215111119888,0.0038246925190277,
CDR2L,2413,-0.828902913798455,0.0038305904602406,
CTSO,3264,1.43023755280226,0.0040558287695492,
RLN1,11444,-4.62448103775339,0.0041236321033016,
KCNH6,6887,4.33364325208638,0.004209760474688,
CELA3A,2445,-2.56012073974404,0.0042157450968869,0.228754684315414
IL1A,6532,-3.30128382493892,0.0044601730563533,
GTF2A1,5707,0.736750523109873,0.0045083457955731,
NCOA7,8756,-0.790418420179824,0.0045461624527281,
BTRC,1539,1.61685077484661,0.00459873099283,
TRAC,14323,1.90074049040308,0.0046931973130765,
PTCH1,10799,1.68593872927655,0.0047210614142592,
RFK,11320,-0.787262307555684,0.0047610141995598,
SRSF11,13105,0.513805650874524,0.0048544408320044,
ZNF598,15907,-0.715334220450351,0.0048638475759245,
RHOA,11386,0.415845588282243,0.0049439444744348,0.228754684315414
SAT1,11878,-0.644574510942426,0.0050062560264261,0.228754684315414
ZNF83,16058,0.52122220053153,0.0050494142413818,0.228754684315414
SLC37A1,12542,-1.07576129834427,0.00506326808732,
IL9,6569,-5.56497116048032,0.0050926634692237,
TXNIP,14739,0.564703816241546,0.005102334966143,0.228754684315414
DBNDD2,3450,-0.669558605493599,0.005247960022527,
RHOC,11391,-0.756069652386641,0.0054078185771327,
HIST2H3A,6011,-1.50428421849297,0.0054921475262754,
CPLANE2,3057,3.00032254372389,0.0055400461206135,
TOR4A,14266,-0.904225068706517,0.0056311362694528,
PAK3,9552,2.56390246420431,0.0056444412796723,
NDRG3,8774,5.55858270381922,0.0058077904038206,
TMED2,13906,0.581016197767115,0.0060100037905583,
CAPZA2,1907,0.501745561912067,0.0060300792885629,
MAP2K3,7783,-0.630057013979806,0.0060877016547495,
CARD10,1909,-0.734632742485063,0.0061756470918771,
CFAP43,2544,2.97458927142974,0.0062648314294774,
WASHC5,15198,0.801519892080208,0.0063883122304397,
GOLIM4,5480,0.581053184192864,0.0065181749130271,0.255549160342312
MYRIP,8613,6.06288112779338,0.0065330742382078,
COPG2,2985,2.49927671227707,0.0065975250160637,
C1QTNF7,1676,2.30372999734282,0.0067623517744735,
PNLIP,10277,-2.37793736529585,0.0067822425264594,0.255549160342312
PABPN1,9524,-0.546920159284203,0.0068639794517892,0.255549160342312
USP9X,15023,0.353129921361662,0.0069666437763703,0.255549160342312
