gene_name,gene_index,log2FC,p_value,adj_p_value
BRF2,8012,1.776671,0.045880839288028365,0.10282088668108826
YIPF5,8013,1.670937,0.062105474494903085,0.12886150110838185
PRKAR2A,8014,2.635384,0.003512110127075623,0.015675596196990677
KNG1,8015,1.074957,0.0867791159012418,0.16477593691106113
WDR5,8016,1.20745,0.11007823213009882,0.19559129461690877
DHRS2,8017,3.961354,8.043278979322358e-06,0.00014935027254630516
INO80B-WBP1,8018,2.658573,0.0027500843233164837,0.013016974915327786
CLCN3,8019,0.514445,0.5612894370067372,0.6585705850063063
OPN3,8020,1.99131,0.009871248612526645,0.033323075550957405
TRIM5,8021,1.578141,0.06677779129073279,0.13614708333009692
MAP2,8022,3.844207,2.3005339733564354e-05,0.0003325225224438381
PLK1,8023,1.222165,0.1783819460073618,0.2792181998937538
STC1,8024,4.251219,5.956191264714507e-06,0.00011864805268568301
KCTD17,8025,2.088654,0.018385580717098008,0.05227512277493836
FUT2,8026,-0.806994,0.34125464080210166,0.44158014308323185
VANGL1,8027,3.045841,0.0007227884237837666,0.00469026835868379
DESI2,8028,1.518793,0.050757682398163896,0.11067815173505556
ATAD2,8029,1.539555,0.10277992291598244,0.186160454295097
C5ORF22,8030,0.897682,0.2610510409490321,0.37319255190021633
BACE2,8031,2.009097,0.026330143625660784,0.06821806412008721
STYK1,8032,-0.980173,0.2516548569805354,0.36276083539719967
NPTXR,8033,4.523494,1.2784623559661961e-06,3.557484021877122e-05
FH,8034,1.921667,0.019070207406931553,0.05370169273076845
MBD3,8035,3.1943,0.00022312923050730234,0.0019229523054349797
GET3,8036,2.70811,0.002118888140418486,0.010728402789613106
RAB34,8037,3.490105,4.1929698964771774e-05,0.0005325963889780585
COX17,8038,1.069134,0.1632274599356536,0.262519785947996
NR6A1,8039,0.336837,0.7108624523806129,0.794737189570475
SAYSD1,8040,0.714711,0.4229852243906451,0.5245767250555934
TREX1,8041,1.370136,0.1354184286292172,0.22908109758064643
ECI2,8042,1.710868,0.04318672601361888,0.09842916348846663
OGFOD1,8043,2.077814,0.01442291067622682,0.043696903871204104
JAGN1,8044,2.083316,0.023616222616970838,0.06304379427871849
ULBP3,8045,1.548497,0.07092209649495548,0.14240075652742742
